"","Women","Number","Oldest.Youngest","Men","Number.1","Oldest.Youngest.1"
"123","Bibiane",14,"1927 2005 ","Charles",11,"1942 2009"
"124","Bikki",5,"1962 2008 ","Charlie",12,"1944 2010"
"125","Bilha",13,"1932 2010 ","Chris",12,"1956 2006"
"126","Birgethe",5,"1949 2010 ","Christian",88,"1930 2010"
"127","Birgit",14,"1942 2003 ","Christopher",6,"1966 2003"
"128","Birgithe",82,"1926 2010 ","Claus",47,"1943 2010"
"129","Birgitte",49,"1927 2009 ","Cuno",5,"1959 2009"
"130","Birte",5,"1932 1990 ","Dan",31,"1945 2010"
"131","Birthe",151,"1926 2010 ","Daniel",141,"1925 2010"
"132","Boa",5,"1931 1999 ","Danny",22,"1965 2010"
"133","Bodil",77,"1922 2010 ","David",151,"1920 2010"
"134","Bolethe",102,"1916 2010 ","Dean",9,"1970 2010"
"135","Bolette",24,"1925 2008 ","Denis",5,"1952 2005"
"136","Brita",5,"1948 2002 ","Dennis",41,"1949 2010"
"137","Britta",19,"1950 2010 ","Dines",19,"1928 2010"
"138","Camilla",83,"1967 2010 ","Dirch",5,"1970 2009"
"139","Carina",14,"1976 2010 ","Ditlev",9,"1926 2010"
"140","Carla",18,"1942 2010 ","Ebbe",5,"1943 2008"
"141","Caroline",6,"1934 2010 ","Edvard",125,"1927 2010"
"142","Cecilia",6,"1948 2005 ","Edvardt",9,"1935 2010"
"143","Cecilie",108,"1926 2010 ","Efraim",36,"1921 2009"
"144","Charlothe",11,"1938 2010 ","Egede",17,"1927 2010"
"145","Charlotte",129,"1922 2010 ","Egon",15,"1934 2010"
"146","Christa",12,"1952 2006 ","Eigil",21,"1927 2010"
"147","Christina",30,"1943 2010 ","Einar",12,"1944 2007"
"148","Christine",12,"1953 2009 ","Ejnar",24,"1929 2010"
"149","Cindy",6,"2000 2007 ","Ejner",14,"1945 2005"
"150","Clara",10,"1943 2009 ","Ejvind",17,"1944 2010"
"151","Claudia",8,"1968 2010 ","Eli",52,"1936 2010"
"152","Connie",9,"1951 2010 ","Elias",101,"1924 2010"
"153","Dagmar",16,"1916 2010 ","Eliaser",7,"1941 2010"
"154","Daisy",8,"1985 2010 ","Elisæus",5,"1938 2010"
"155","Dana",20,"1952 2010 ","Elo",6,"1958 2010"
"156","Dea",6,"1963 2006 ","Emanoraq",5,"1959 1987"
"157","Debora",70,"1923 2009 ","Emanuel",40,"1929 2010"
"158","Diana",20,"1955 2010 ","Emil",100,"1928 2010"
"160","Dina",70,"1922 2010 ","Emilius",5,"1956 2002"
"161","Dine",11,"1938 2010 ","Enok",60,"1930 2010"
"162","Ditte",8,"1965 2008 ","Enos",21,"1928 2008"
"163","Dora",40,"1941 2010 ","Erik",139,"1927 2010"
"164","Doris",6,"1947 1992 ","Erling",25,"1934 2010"
"165","Dorte",16,"1931 1997 ","Erne",9,"1964 1988"
"166","Dorthe",268,"1924 2010 ","Erneeraq",54,"1952 2009"
"167","Dorthe-Marie",5,"1955 2010 ","Erneq",11,"1964 2005"
"168","Dorthea",37,"1925 2009 ","Ernerak",5,"1956 1987"
"169","Dorthie",26,"1919 2010 ","Erneraq",7,"1956 1994"
"170","Ea",8,"1972 2010 ","Erni",18,"1983 2010"
"171","Ebba",14,"1942 2007 ","Erninnguaq",20,"1984 2010"
"172","Edel",7,"1929 2009 ","Ernst",22,"1936 2007"
"173","Eleonora",35,"1922 2010 ","Esaias",17,"1930 2003"
"174","Elionora",9,"1929 2010 ","Esben",10,"1955 2007"
"175","Elisa",80,"1933 2010 ","Eskild",10,"1931 2010"
"176","Elisabeth",182,"1919 2010 ","Esra",6,"1940 1997"
"177","Elise",28,"1925 2010 ","Evald",17,"1931 2010"
"178","Ella",40,"1930 2010 ","Felix",12,"1967 2010"
"179","Ellen",87,"1924 2010 ","Ferdinand",40,"1934 2009"
"180","Elna",12,"1944 2009 ","Finn",73,"1933 2010"
"181","Else",210,"1924 2010 ","Flemming",40,"1938 2006"
"182","Else-Marie",13,"1951 2008 ","Francis",6,"1969 2010"
"183","Elvira",19,"1952 2008 ","Frank",56,"1938 2010"
"184","Emilia",10,"1928 2010 ","Frans",11,"1940 2008"
"185","Emilie",135,"1922 2010 ","Franz",5,"1952 2004"
"186","Emma",69,"1929 2010 ","Frede",8,"1956 2007"
"187","Emmy",5,"1936 2009 ","Frederik",253,"1921 2010"
"188","Ena",12,"1960 2008 ","Fritz",10,"1950 2006"
"189","Erika",16,"1937 2010 ","Gaaba",7,"1965 2009"
"190","Erikka",7,"1935 2009 ","Gaba",29,"1935 2010"
"191","Erna",23,"1936 2010 ","Gabriel",78,"1928 2010"
"192","Ester",13,"1928 2010 ","Gedion",61,"1928 2010"
"193","Esther",56,"1924 2010 ","Georg",28,"1937 2010"
"194","Eunike",19,"1936 2006 ","Gerhard",5,"1931 2003"
"195","Eva",128,"1919 2010 ","Gerhardt",26,"1932 2009"
"196","Evnike",6,"1930 2009 ","Gert",49,"1928 2008"
"197","Fie",5,"1956 2008 ","Gerth",106,"1932 2010"
"198","Filippine",12,"1945 2004 ","Gideon",8,"1932 1999"
"199","Fiona",7,"2000 2008 ","Glenn",10,"1958 2005"
"200","Flavia",19,"1931 2010 ","Godmand",6,"1931 2007"
"201","Frederikka",12,"1936 2009 ","Gudmand",14,"1936 1995"
"202","Frederikke",100,"1924 2010 ","Gudmundur",8,"1949 2008"
"203","Freja",14,"1991 2010 ","Gunnar",25,"1933 2008"
"204","Frida",19,"1957 2008 ","Gustav",62,"1928 2008"
"205","Føbe",11,"1933 2010 ","Hans",988,"1924 2010"
"206","Gerda",78,"1925 2010 ","Hans-Erik",6,"1960 1999"
"207","Gertrud",50,"1926 2009 ","Hans-Henrik",10,"1960 2009"
"208","Ghita",6,"1960 2008 ","Hans-Jakob",12,"1944 2009"
"209","Gitte",29,"1961 2007 ","Hans-Jørgen",9,"1960 2009"
"210","Grete",9,"1933 2009 ","Hans-Karl",7,"1978 2003"
"211","Grethe",77,"1926 2010 ","Hans-Kristian",13,"1963 2009"
"212","Gudrun",35,"1938 2010 ","Hans-Lars",13,"1950 2005"
"213","Guldborg",14,"1937 2009 ","Hans-Ole",10,"1966 2009"
